x	y	Cell_class	Neuron_cluster_ID	z	bregma
-2965x3180	-2965.012382	3180.180591	Inhibitory	I-4	MPA	-0.04
-2940x3202	-2940.378288	3201.794391	Excitatory	E-12	MPA	-0.04
-2928x3161	-2927.817053	3161.192726	Inhibitory	I-16	MPA	-0.04
-2859x3129	-2858.526133	3129.484842	Excitatory	E-6	MPA	-0.04
-2858x3198	-2858.313664	3197.907968	Inhibitory	I-1	MPA	-0.04
-3030x3279	-3029.629998	3278.57894	Microglia		MPA	-0.04
-3031x3302	-3030.555515	3301.588462	Astrocyte		MPA	-0.04
-3027x3237	-3027.34831	3237.455221	Excitatory	E-15	MPA	-0.04
-3019x3261	-3019.434513	3260.697422	Endothelial 1		MPA	-0.04
-3016x3306	-3016.414033	3306.180062	Endothelial 1		MPA	-0.04
-3002x3359	-3001.803085	3359.197613	OD Mature 2		MPA	-0.04
-3001x3300	-3000.888789	3299.561234	Excitatory	E-3	MPA	-0.04
-2988x3238	-2988.069227	3237.589184	Excitatory	E-13	MPA	-0.04
-2991x3316	-2990.558942	3315.615024	Excitatory	E-4	MPA	-0.04
-2991x3276	-2990.728397	3276.069463	Inhibitory	I-1	MPA	-0.04
-2989x3379	-2989.124366	3378.62298	Excitatory	E-13	MPA	-0.04
-2979x3333	-2978.962421	3333.223733	Excitatory	E-1	MPA	-0.04
-2974x3250	-2974.133668	3250.291371	Astrocyte		MPA	-0.04
-2968x3391	-2967.762604	3390.914725	Astrocyte		MPA	-0.04
-2960x3334	-2960.285218	3333.860364	Excitatory	E-3	MPA	-0.04
-2950x3275	-2950.421434	3275.093089	OD Mature 2		MPA	-0.04
-2940x3299	-2939.575179	3299.068068	Microglia		MPA	-0.04
-2945x3316	-2944.724184	3316.485959	Inhibitory	I-6	MPA	-0.04
-2934x3372	-2933.868497	3371.899957	Excitatory	E-1	MPA	-0.04
-2935x3245	-2934.942897	3244.621051	OD Immature 1		MPA	-0.04
-2924x3321	-2923.887749	3320.556232	Inhibitory	I-7	MPA	-0.04
-2922x3356	-2921.713718	3355.828041	Inhibitory	I-3	MPA	-0.04
-2927x3336	-2927.199416	3335.552724	Endothelial 1		MPA	-0.04
-2912x3246	-2911.592857	3246.474407	Inhibitory	I-8	MPA	-0.04
-2906x3237	-2906.329128	3236.931351	Inhibitory	I-8	MPA	-0.04
-2910x3303	-2909.636307	3303.010553	OD Mature 2		MPA	-0.04
-2905x3311	-2905.293216	3310.835367	Inhibitory	I-7	MPA	-0.04
-2904x3395	-2903.975022	3395.467639	Inhibitory	I-12	MPA	-0.04
-2900x3249	-2899.545698	3249.497751	Endothelial 1		MPA	-0.04
-2894x3273	-2894.457204	3272.832326	Inhibitory	I-10	MPA	-0.04
-2892x3285	-2891.839974	3284.828044	OD Mature 2		MPA	-0.04
-2876x3325	-2876.356967	3324.968411	Endothelial 3		MPA	-0.04
-2870x3343	-2870.246151	3343.472935	Astrocyte		MPA	-0.04
-2869x3257	-2868.557788	3256.816329	Inhibitory	I-4	MPA	-0.04
-2869x3400	-2868.802795	3400.047664	Endothelial 1		MPA	-0.04
-2860x3232	-2859.966448	3231.820202	OD Immature 1		MPA	-0.04
-2861x3400	-2860.682058	3400.098317	Endothelial 1		MPA	-0.04
-2857x3289	-2857.382141	3289.016683	Astrocyte		MPA	-0.04
-2850x3273	-2849.515024	3273.465271	Inhibitory	I-4	MPA	-0.04
-2847x3243	-2846.723828	3242.719513	Excitatory	E-15	MPA	-0.04
-3031x3261	-3031.313008	3261.160648	Inhibitory	I-1	MPA	-0.04
-3021x3369	-3021.077099	3368.575012	Astrocyte		MPA	-0.04
-3008x3243	-3007.713612	3243.39608	Inhibitory	I-8	MPA	-0.04
-2993x3226	-2993.495947	3226.153905	OD Mature 2		MPA	-0.04
-2972x3298	-2971.981767	3297.638044	Inhibitory	I-8	MPA	-0.04
-2966x3292	-2965.66967	3292.330916	Inhibitory	I-8	MPA	-0.04
-2915x3259	-2914.903564	3258.723116	Inhibitory	I-1	MPA	-0.04
-2999x3350	-2998.9505	3350.228772	Inhibitory	I-4	MPA	-0.04
-2947x3264	-2946.59941	3264.043714	Inhibitory	I-1	MPA	-0.04
-2872x3315	-2872.203745	3314.643496	Astrocyte		MPA	-0.04
-2872x3396	-2871.581247	3395.560508	Inhibitory	I-1	MPA	-0.04
-2952x3331	-2951.926098	3330.523459	Inhibitory	I-8	MPA	-0.04
-2917x3277	-2917.391633	3277.119729	Inhibitory	I-8	MPA	-0.04
-2903x3366	-2903.488636	3365.516315	Endothelial 1		MPA	-0.04
-2875x3304	-2875.341558	3304.040125	OD Immature 1		MPA	-0.04
-3030x3427	-3029.764386	3426.783967	Astrocyte		MPA	-0.04
-3022x3498	-3021.888972	3497.605352	Endothelial 1		MPA	-0.04
-3025x3551	-3025.280058	3550.785908	Inhibitory	I-7	MPN	-0.04
-3014x3523	-3013.524167	3522.723196	OD Mature 2		MPN	-0.04
-3004x3595	-3003.775992	3594.652261	Astrocyte		MPN	-0.04
-3002x3587	-3002.107398	3587.260236	Inhibitory	I-12	MPN	-0.04
-2999x3558	-2998.757643	3558.347645	Endothelial 3		MPN	-0.04
-2979x3530	-2979.043681	3529.882938	OD Mature 2		MPN	-0.04
-2972x3453	-2971.836425	3453.417328	Inhibitory	I-4	MPA	-0.04
-2971x3493	-2971.365765	3492.712399	Inhibitory	I-1	MPN	-0.04
-2970x3555	-2970.089714	3555.107842	Astrocyte		MPN	-0.04
-2969x3479	-2969.405432	3478.899773	Inhibitory	I-1	MPN	-0.04
-2967x3574	-2966.73883	3573.57959	Inhibitory	I-8	MPN	-0.04
-2956x3438	-2956.284887	3437.937878	Endothelial 1		MPA	-0.04
-2943x3601	-2942.557256	3600.703083	OD Mature 2		MPN	-0.04
-2939x3513	-2938.950004	3512.590712	Inhibitory	I-36	MPN	-0.04
-2935x3539	-2935.265535	3538.639063	Excitatory	E-24	MPN	-0.04
-2936x3432	-2935.816291	3432.160161	Microglia		MPA	-0.04
-2936x3461	-2935.961497	3460.577893	Inhibitory	I-12	MPN	-0.04
-2926x3592	-2926.261002	3591.635334	Excitatory	E-12	MPN	-0.04
-2927x3468	-2926.774248	3468.158655	OD Immature 1		MPN	-0.04
-2924x3602	-2924.360229	3601.857167	Endothelial 1		MPN	-0.04
-2917x3550	-2916.580302	3549.700718	OD Mature 2		MPN	-0.04
-2917x3496	-2916.618092	3496.365278	Astrocyte		MPN	-0.04
-2912x3563	-2912.495622	3563.406106	Inhibitory	I-8	MPN	-0.04
-2912x3504	-2911.840434	3504.088303	Inhibitory	I-12	MPN	-0.04
-2910x3554	-2909.967295	3554.155176	Inhibitory	I-6	MPN	-0.04
-2898x3606	-2897.526055	3605.658487	Astrocyte		MPN	-0.04
-2895x3444	-2895.100013	3443.780905	Inhibitory	I-8	MPA	-0.04
-2891x3513	-2891.371075	3513.218422	OD Immature 1		MPN	-0.04
-2881x3454	-2880.573975	3453.91202	OD Immature 1		MPN	-0.04
-2863x3607	-2863.365352	3606.889879	Inhibitory	I-8	MPN	-0.04
-2864x3589	-2863.897887	3589.107725	Inhibitory	I-10	MPN	-0.04
-2861x3483	-2860.581062	3482.862896	Astrocyte		MPN	-0.04
-2855x3499	-2855.042965	3499.476179	Excitatory	E-7	MPN	-0.04
-2851x3488	-2850.612966	3488.081234	Astrocyte		MPN	-0.04
-2848x3443	-2847.810296	3443.206007	Astrocyte		MPA	-0.04
-2844x3543	-2844.155507	3543.188531	OD Immature 1		MPN	-0.04
-3024x3566	-3023.704331	3565.913928	Inhibitory	I-10	MPN	-0.04
-3009x3482	-3009.436912	3481.503748	Astrocyte		MPA	-0.04
-3007x3473	-3006.523473	3472.608425	Astrocyte		MPA	-0.04
-2998x3535	-2997.707571	3535.112199	Excitatory	E-12	MPN	-0.04
-2961x3510	-2961.155878	3510.215791	Endothelial 3		MPN	-0.04
-2859x3444	-2859.212214	3443.744199	Astrocyte		MPA	-0.04
-2985x3601	-2984.872922	3600.617098	Inhibitory	I-10	MPN	-0.04
-2964x3547	-2963.639967	3547.11899	Inhibitory	I-7	MPN	-0.04
-2945x3584	-2945.028144	3583.992876	Excitatory	E-15	MPN	-0.04
-2893x3497	-2892.860948	3496.752077	Inhibitory	I-10	MPN	-0.04
-2877x3541	-2876.608215	3541.333293	Endothelial 1		MPN	-0.04
-3027x3529	-3026.900885	3529.220886	Inhibitory	I-10	MPN	-0.04
-3017x3551	-3017.111149	3551.013574	Inhibitory	I-7	MPN	-0.04
-3001x3451	-3000.743007	3451.37874	Inhibitory	I-1	MPA	-0.04
-2954x3508	-2954.16089	3507.624408	Endothelial 1		MPN	-0.04
-2955x3568	-2955.467372	3567.644607	Inhibitory	I-7	MPN	-0.04
-2909x3472	-2909.22667	3472.228197	Inhibitory	I-12	MPN	-0.04
-2871x3475	-2871.338739	3475.172851	Inhibitory	I-7	MPN	-0.04
-3025x3774	-3024.794532	3774.119827	Inhibitory	I-1	MPN	-0.04
-3021x3739	-3020.848977	3738.880899	Inhibitory	I-31	MPN	-0.04
-3021x3747	-3020.818697	3747.377863	Inhibitory	I-31	MPN	-0.04
-3017x3693	-3017.362388	3692.870942	OD Immature 1		MPN	-0.04
-3020x3636	-3019.579891	3636.306482	Inhibitory	I-1	MPN	-0.04
-3017x3701	-3017.380657	3700.658126	OD Immature 1		MPN	-0.04
-3016x3803	-3015.618315	3803.260338	Inhibitory	I-7	MPN	-0.04
-3013x3652	-3012.907822	3652.475477	Endothelial 1		MPN	-0.04
-3004x3703	-3003.925261	3702.96211	Inhibitory	I-12	MPN	-0.04
-3004x3659	-3003.959881	3658.919756	Inhibitory	I-14	MPN	-0.04
-2998x3777	-2997.835089	3776.749203	Inhibitory	I-7	MPN	-0.04
-2995x3659	-2995.0635	3659.252262	Inhibitory	I-6	MPN	-0.04
-2994x3637	-2994.107724	3636.896864	Astrocyte		MPN	-0.04
-2982x3802	-2982.293965	3801.599629	Endothelial 1		MPN	-0.04
-2981x3707	-2981.460522	3707.245007	Endothelial 3		MPN	-0.04
-2975x3724	-2975.387626	3724.490063	Endothelial 1		MPN	-0.04
-2972x3736	-2971.71703	3736.373824	Astrocyte		MPN	-0.04
-2958x3784	-2957.803784	3783.763261	Inhibitory	I-31	MPN	-0.04
-2956x3775	-2956.031492	3775.322121	Inhibitory	I-6	MPN	-0.04
-2953x3680	-2952.543845	3680.039797	Inhibitory	I-7	MPN	-0.04
-2954x3762	-2954.08651	3761.858226	Astrocyte		MPN	-0.04
-2943x3693	-2942.573152	3693.19986	OD Mature 2		MPN	-0.04
-2941x3718	-2941.283159	3717.880191	Endothelial 1		MPN	-0.04
-2924x3734	-2924.320106	3734.206804	Inhibitory	I-11	MPN	-0.04
-2921x3632	-2921.232651	3631.858571	Inhibitory	I-8	MPN	-0.04
-2919x3728	-2919.326575	3728.357165	Astrocyte		MPN	-0.04
-2914x3801	-2913.795332	3800.562161	OD Immature 1		MPN	-0.04
-2910x3791	-2909.649584	3791.267113	Astrocyte		MPN	-0.04
-2910x3755	-2909.524406	3755.134083	Excitatory	E-12	MPN	-0.04
-2906x3652	-2906.182309	3651.975769	Inhibitory	I-1	MPN	-0.04
-2902x3633	-2901.731239	3633.238113	Astrocyte		MPN	-0.04
-2896x3709	-2895.80512	3708.918575	Excitatory	E-15	MPN	-0.04
-2894x3633	-2893.783563	3632.57759	Inhibitory	I-12	MPN	-0.04
-2891x3768	-2890.973304	3768.354363	Astrocyte		MPN	-0.04
-2886x3656	-2885.738418	3656.499904	Excitatory	E-13	MPN	-0.04
-2865x3647	-2864.678655	3647.152794	Inhibitory	I-14	MPN	-0.04
-2860x3795	-2860.26603	3794.894621	Inhibitory	I-11	MPN	-0.04
-2852x3621	-2852.149726	3620.936713	Endothelial 2		MPN	-0.04
-2848x3805	-2847.813849	3804.514555	Excitatory	E-18	MPN	-0.04
-2999x3681	-2998.677808	3680.668377	Inhibitory	I-10	MPN	-0.04
-2970x3759	-2970.444289	3759.101101	Inhibitory	I-3	MPN	-0.04
-2963x3789	-2962.886976	3789.219089	Inhibitory	I-12	MPN	-0.04
-2929x3782	-2929.019032	3782.323564	Inhibitory	I-12	MPN	-0.04
-2906x3745	-2906.421588	3745.2347	Excitatory	E-15	MPN	-0.04
-2873x3728	-2873.269441	3727.668191	Excitatory	E-12	MPN	-0.04
-2867x3733	-2867.465451	3732.946113	Excitatory	E-12	MPN	-0.04
-2987x3692	-2987.408398	3692.429839	Inhibitory	I-4	MPN	-0.04
-2966x3696	-2966.479346	3696.190391	Excitatory	E-15	MPN	-0.04
-2945x3799	-2944.604081	3798.948549	Inhibitory	I-11	MPN	-0.04
-2945x3738	-2944.827091	3738.139051	Inhibitory	I-11	MPN	-0.04
-2920x3673	-2919.844901	3672.836715	Inhibitory	I-14	MPN	-0.04
-2877x3641	-2876.979092	3641.318865	OD Immature 1		MPN	-0.04
-2851x3626	-2850.814092	3626.193626	Endothelial 2		MPN	-0.04
-2851x3807	-2850.813103	3806.51168	Excitatory	E-18	MPN	-0.04
-2981x3740	-2980.720269	3739.919126	Microglia		MPN	-0.04
-2889x3759	-2889.205406	3758.963368	Inhibitory	I-6	MPN	-0.04
-2870x3676	-2870.153308	3676.155387	OD Mature 2		MPN	-0.04
-2860x3622	-2859.890433	3621.977629	Endothelial 1		MPN	-0.04
-3017x3682	-3016.951076	3681.523015	Inhibitory	I-4	MPN	-0.04
-2960x3658	-2959.645375	3658.25377	Inhibitory	I-2	MPN	-0.04
-2947x3711	-2947.096655	3711.356376	Excitatory	E-12	MPN	-0.04
-2926x3766	-2926.07897	3766.209078	Excitatory	E-12	MPN	-0.04
-2869x3669	-2869.330844	3668.590455	Inhibitory	I-1	MPN	-0.04
-2865x3772	-2865.023294	3772.357728	Inhibitory	I-11	MPN	-0.04
-3026x3852	-3025.732277	3851.931896	Astrocyte		MPN	-0.04
-3020x3869	-3019.833327	3869.226631	OD Immature 1		MPN	-0.04
-3009x3997	-3009.277568	3996.527	Inhibitory	I-12	MPN	-0.04
-3007x3897	-3007.132576	3897.451682	Inhibitory	I-11	MPN	-0.04
-3005x3906	-3005.473043	3906.043529	OD Immature 1		MPN	-0.04
-2992x3850	-2992.251031	3849.979918	Inhibitory	I-12	MPN	-0.04
-2991x3887	-2990.722622	3886.885231	Inhibitory	I-3	MPN	-0.04
-2987x3916	-2987.253505	3915.733659	Astrocyte		MPN	-0.04
-2986x4002	-2986.096803	4002.011758	Inhibitory	I-11	MPN	-0.04
-2968x3891	-2968.146755	3891.125517	Inhibitory	I-11	MPN	-0.04
-2966x4005	-2965.992366	4004.76862	Inhibitory	I-24	MPN	-0.04
-2963x3975	-2963.325218	3975.288257	Astrocyte		MPN	-0.04
-2957x3955	-2956.981804	3955.224497	Inhibitory	I-2	MPN	-0.04
-2955x3924	-2954.543265	3924.323612	Inhibitory	I-11	MPN	-0.04
-2946x3951	-2946.200159	3950.864045	Inhibitory	I-12	MPN	-0.04
-2932x3987	-2932.016877	3986.709491	Inhibitory	I-7	MPN	-0.04
-2923x3923	-2922.98543	3923.325592	Pericytes		MPN	-0.04
-2925x3851	-2924.764343	3850.659291	Inhibitory	I-11	MPN	-0.04
-2922x3828	-2921.716174	3828.224288	Inhibitory	I-11	MPN	-0.04
-2915x3923	-2914.559087	3922.557977	OD Immature 1		MPN	-0.04
-2917x3883	-2916.769962	3882.783926	Inhibitory	I-10	MPN	-0.04
-2909x3905	-2909.183945	3904.820657	Inhibitory	I-1	MPN	-0.04
-2907x3950	-2907.406593	3949.510786	Inhibitory	I-1	MPN	-0.04
-2909x3980	-2908.638578	3979.868829	Inhibitory	I-21	MPN	-0.04
-2905x3862	-2904.906559	3862.313155	Inhibitory	I-31	MPN	-0.04
-2889x3868	-2889.258942	3868.020462	Excitatory	E-17	MPN	-0.04
-2886x3875	-2886.256158	3875.019641	Endothelial 1		MPN	-0.04
-2873x3850	-2872.651875	3849.984157	Inhibitory	I-1	MPN	-0.04
-2869x3941	-2868.865291	3940.72464	Excitatory	E-18	MPN	-0.04
-2859x3860	-2858.515815	3859.665588	Astrocyte		MPN	-0.04
-2852x3997	-2851.702558	3996.590892	Pericytes		MPN	-0.04
-2849x3902	-2849.4454	3902.290671	Astrocyte		MPN	-0.04
-2849x3887	-2849.062855	3886.646779	Inhibitory	I-13	MPN	-0.04
-2980x3913	-2980.30224	3913.345025	Inhibitory	I-12	MPN	-0.04
-2970x3967	-2969.623416	3967.167773	Astrocyte		MPN	-0.04
-2950x4003	-2949.80623	4002.807658	Excitatory	E-12	MPN	-0.04
-2945x3890	-2945.170386	3890.002735	Inhibitory	I-11	MPN	-0.04
-2946x3934	-2945.775108	3933.676386	Inhibitory	I-11	MPN	-0.04
-2858x3930	-2857.780778	3929.522991	Inhibitory	I-11	MPN	-0.04
-2980x3867	-2979.859064	3867.108201	Inhibitory	I-11	MPN	-0.04
-2974x3953	-2973.617293	3953.254772	Excitatory	E-13	MPN	-0.04
-2967x3902	-2966.767588	3902.178035	Excitatory	E-12	MPN	-0.04
-2940x3841	-2939.892179	3841.332755	OD Immature 1		MPN	-0.04
-2930x3963	-2930.225811	3962.593893	Excitatory	E-12	MPN	-0.04
-2859x3884	-2858.585262	3883.919983	Microglia		MPN	-0.04
-3026x3975	-3026.168443	3974.725075	Inhibitory	I-24	MPN	-0.04
-3027x3984	-3027.026142	3984.395071	Inhibitory	I-11	MPN	-0.04
-2997x3942	-2997.148342	3941.676495	Inhibitory	I-1	MPN	-0.04
-2995x3833	-2995.419689	3832.512694	Inhibitory	I-11	MPN	-0.04
-2959x3964	-2959.054804	3964.416958	Inhibitory	I-12	MPN	-0.04
-2917x4006	-2916.809889	4006.019854	Endothelial 1		MPN	-0.04
-2876x3832	-2876.470373	3831.662506	Astrocyte		MPN	-0.04
-3034x4136	-3033.813912	4136.290706	Endothelial 1		MPN	-0.04
-3028x4032	-3028.042789	4031.903564	Inhibitory	I-11	MPN	-0.04
-3024x4194	-3023.926375	4193.730961	Inhibitory	I-11	BST	-0.04
-3016x4071	-3016.480588	4070.623181	Excitatory	E-12	MPN	-0.04
-3014x4203	-3014.166086	4202.983057	Inhibitory	I-5	BST	-0.04
-3015x4081	-3014.923616	4081.295655	Inhibitory	I-14	MPN	-0.04
-3016x4175	-3015.818224	4175.446976	Inhibitory	I-14	BST	-0.04
-3001x4135	-3001.170178	4134.731934	Inhibitory	I-7	MPN	-0.04
-2997x4041	-2996.947149	4040.874292	Excitatory	E-12	MPN	-0.04
-2997x4166	-2997.438171	4165.690005	Astrocyte		BST	-0.04
-3000x4063	-3000.413001	4063.344363	Inhibitory	I-10	MPN	-0.04
-2992x4023	-2991.843342	4022.544097	Inhibitory	I-18	MPN	-0.04
-2989x4125	-2988.961156	4124.935998	Inhibitory	I-12	MPN	-0.04
-2985x4158	-2985.19862	4157.715946	Inhibitory	I-23	BST	-0.04
-2987x4115	-2986.893841	4114.693089	Excitatory	E-11	MPN	-0.04
-2987x4208	-2986.694977	4207.696178	Astrocyte		BST	-0.04
-2981x4047	-2981.186739	4046.505323	Inhibitory	I-12	MPN	-0.04
-2974x4111	-2974.2812	4110.95678	Inhibitory	I-7	MPN	-0.04
-2974x4161	-2973.867539	4160.518352	Astrocyte		BST	-0.04
-2970x4188	-2969.819458	4188.110305	Astrocyte		BST	-0.04
-2967x4064	-2966.561761	4063.709486	Inhibitory	I-12	MPN	-0.04
-2960x4100	-2959.856452	4099.622987	Astrocyte		MPN	-0.04
-2957x4139	-2957.011139	4139.426738	Inhibitory	I-23	BST	-0.04
-2954x4205	-2954.266446	4205.26201	Inhibitory	I-10	BST	-0.04
-2950x4048	-2950.293763	4047.865505	Inhibitory	I-12	MPN	-0.04
-2944x4136	-2944.002464	4135.8088	Inhibitory	I-23	BST	-0.04
-2947x4062	-2946.563829	4062.236348	Excitatory	E-8	MPN	-0.04
-2938x4163	-2937.741729	4163.461748	Inhibitory	I-2	BST	-0.04
-2940x4185	-2939.841513	4185.242685	Excitatory	E-16	BST	-0.04
-2937x4133	-2936.839016	4132.935772	Astrocyte		BST	-0.04
-2937x4058	-2937.452848	4057.720908	Inhibitory	I-2	MPN	-0.04
-2932x4035	-2932.069661	4034.870125	Inhibitory	I-9	MPN	-0.04
-2917x4166	-2917.349245	4166.20726	OD Immature 1		BST	-0.04
-2918x4102	-2917.551257	4102.128757	Endothelial 1		BST	-0.04
